输入文本,生成问题,参考问题,改写问题
"[['农业科学数据共享中心', '项目编号', '2005DKA31800']]",农 业 科 学 数 据 共 享 中 心 的 项 目 编 号 是 多 少 ？,农业科学数据共享中心的项目编号是什么？,农业科学数据共享中心的项目编号是多少？
"[['三池苗子', '警衔', '巡查部长']]",三 池 苗 子 的 警 衔 是 什 么 ？,三池苗子的警衔是什么,请问三池苗子的警衔是什么？
"[['天炉座', '面积排名', '41']]",你 知 道 天 炉 座 的 面 积 有 多 大 吗 ？,天炉座的面积排多少名？,天炉座的面积有多大？
"[['说谎的女人（2010年江苏文艺出版社出版的图书）', '印张', '6']]",说 谎 的 女 人 的 印 张 是 多 少 ？,说谎的女人印张一共有几个？,请问说谎的女人这本书的印张数是多少？
"[['10·28贵阳在建停车场垮塌事故', '人员伤亡', '8人死亡，2人受伤']]",你 知 道 10 · 28 贵 阳 在 建 停 车 场 垮 塌 事 故 有 多 少 人 员 伤 亡 吗 ？,10·28贵阳在建停车场垮塌事故造成了多少人员伤亡,请问10·28贵阳在建停车场垮塌事故中有多少人受伤？
"[['弗洛伊德（2019年邓典演唱的歌曲）', '制作统筹', 'Andy嵇智勤']]",你 知 道 弗 洛 伊 德 的 制 作 统 筹 是 谁 吗 ？,请问弗洛伊德的制作统筹是谁？,请问弗洛伊德这首歌的制作统筹是谁？
"[['ACE（家居品牌）', '品牌口号', '为人民制造一流的睡眠产品']]",你 知 道 ACE 是 什 么 品 牌 吗 ？,你知道ACE有什么口号啊,请问ACE的品牌口号是什么？
"[['铜陵西站', '车站性质', '区段站']]",铜 陵 西 站 的 车 站 性 质 是 什 么 ？,铜陵西站的车站性质是什么？,请问铜陵西站的车站性质是什么？
"[['中国民营企业500强', '组织机构', '中华全国工商业联合会']]",中 国 民 营 企 业 500 强 的 组 织 机 构 是 什 么 ？,请问中国民营企业500强属于什么机构？,请问中国民营企业500强的组织机构是什么？
"[['《妙法莲华经》（清代书籍《妙法莲华经》）', '所属博物馆', '洛阳金石文字博物馆']]",你 知 道 《 妙 法 莲 华 经 》 属 于 什 么 博 物 馆 吗 ？,你知道《妙法莲华经》在哪个博物馆吗,请问《妙法莲华经》属于哪个博物馆？
"[['杨忠烈公文集', '章节', '明代三卷、清朝十卷']]",杨 忠 烈 公 文 集 的 章 节 是 什 么 ？,杨忠烈公文集一共有多少章？,请问杨忠烈公文集的章节具体包括哪些内容？
"[['Convert.exe', '文件大小', '13,824\xa0字节']]",请 问 Convert. exe 的 文 件 有 多 大 ？,Convert.exe占多大内存呀,Convert.exe 的 文件大小 是多少？
"[['休·道金斯', '加入团队', '全球守卫者、海外兵团等']]",休 · 道 金 斯 是 什 么 团 队 加 入 的 ？,休·道金斯加入了什么团队,请问休·道金斯加入了哪些团队？
"[['不朽大帝', '境界', '超脱圣品']]",请 问 不 朽 大 帝 的 境 界 是 什 么 ？,不朽大帝在什么境界,请问不朽大帝的境界是什么？
"[['严小雨', '挚爱', '刘闯']]",你 知 道 严 小 雨 的 挚 爱 是 谁 吗 ？,严小雨的挚爱是谁,严小雨的挚爱是谁？
"[['后港湾红树林', '最佳旅游时间', '四季皆宜']]",后 港 湾 红 树 林 的 最 佳 旅 游 时 间 是 什 么 时 候 ？,后港湾红树林,请问后港湾红树林的最佳旅游时间是什么时候？
"[['石斛防风网', '冷却时间', '10秒']]",石 斛 防 风 网 的 冷 却 时 间 是 多 长 时 间 ？,石斛防风网多长时间冷却？,石斛防风网的冷却时间是多少？
"[['付锁链爆弹', '罕贵度', '银字R']]",你 知 道 付 锁 链 爆 弹 的 罕 贵 度 吗 ？,付锁链爆弹的罕贵度是什么？,请问付锁链爆弹的罕贵度是什么？
"[['天空圣龙', '漫画作者', '山口美由纪']]",天 空 圣 龙 的 漫 画 作 者 是 谁 ？,天空圣龙这部漫画的作者是谁？,请问天 空 圣 龙的漫画作者是谁？
"[['久本雅美', '最高学历', '金兰短期大学国文科卒']]",请 问 久 本 雅 美 的 最 高 学 历 是 什 么 ？,久本雅美的最高学历是什么,请问久本雅美的最高学历是什么？
"[['东南五省联军', '参与战争', '江浙战争、浙奉战争、北伐战争等']]",东 南 五 省 联 军 参 与 了 哪 些 战 争 ？,谁知道东南五省联军打过哪些仗？,东南五省联军参与了哪些战争？
"[['陈村水道', '水深', '2—4米']]",陈 村 水 道 的 水 深 是 多 少 ？,你知道陈村水道的水有多深吗？,请问陈村水道的水深是多少米？
"[['三角城遗址', '所属时代', '西周至春秋']]",三 角 城 遗 址 属 于 什 么 时 代 ？,你知道三角城遗址属于哪个年代吗,请问三角城遗址属于哪个时代？
"[['巴西莱金', '现效力球队', '南锡（23）']]",巴 西 莱 金 现 在 在 哪 个 球 队 工 作 ？,巴西莱金现在在哪个球队效力？,请问巴西莱金现在效力于哪个球队？
"[['新干东站', '车站性质', '高铁客运站']]",新 干 东 站 的 车 站 性 质 是 什 么 ？,新干东站是什么性质的车站？,请问新干东站的车站性质是什么？
"[['第五人格（2018年网易游戏出品的手机游戏）', '出版单位', '杭州汉唐文化传播有限公司']]",《 第 五 人 格 》 是 哪 个 单 位 出 版 的 ？,告诉我第五人格是哪儿出版的?,请问《第五人格》是哪个单位出版的？
"[['6E班（电影）', '音乐总监', '麦振鸿']]",6E 班 的 音 乐 总 监 是 谁 ？,喜欢音乐的，你们知道谁是6E班的音乐总监吗,6E班的音乐总监是谁？
"[['手工电弧焊（利用手工操纵焊条进行焊接）', '阐述', '利用手工操纵焊条进行焊接']]",请 问 手 工 电 弧 焊 是 什 么 意 思 ？,你会怎么阐述手工电弧焊？,请问手工电弧焊具体指的是什么？
"[['甘庄村（贵州南明区小碧乡下辖村）', '林地面积', '1113亩']]",甘 庄 村 的 面 积 有 多 大 ？,甘庄村有多少亩林地？,请问甘庄村（贵州南明区小碧乡下辖村）的林地面积是多少？
"[['交叉粉碎', '跳跃力', '1100米']]",交 叉 粉 碎 的 跳 跃 力 是 多 少 ？,请问一下交叉粉碎的跳跃能力怎么样,交叉粉碎的跳跃力是多少？
"[['@（电邮应用）', '音标', '/æt/']]",请 问 @ 的 音 标 是 什 么 ？,@的音标是什么,请问 @ 的音标是什么？
"[['两栖战舰艇', '兵种', '海军']]",两 栖 战 舰 艇 属 于 什 么 兵 种 ？,你知道两栖战舰艇属于什么兵种吗,请问两栖战舰艇属于哪个兵种？
"[['爱德华·亚历山大·麦克道威尔', '师从', '李斯特，拉夫，马蒙泰尔']]",谁 是 爱 德 华 · 亚 历 山 大 · 麦 克 道 威 尔 的 师 从 ？,爱德华·亚历山大·麦克道威尔从师于谁？,请问爱德华·亚历山大·麦克道威尔的师从是谁？
"[['Holland Roden', '出生年份', '1986年']]",Holland Roden 是 什 么 时 候 出 生 的 ？,你知道Holland Roden是什么时候出生的吗？,Holland Roden 的出生年份是哪一年？
"[['108（自然数之一）', '八进制', '154']]",108 的 八 进 制 是 什 么 ？,请告诉我108的八进制,请问108的八进制是多少？
"[['天命（清太祖年号）', '起始', '1616年—1626年']]",请 问 天 命 是 从 什 么 时 候 开 始 的 ？,谁知道天命是什么时候开始的？,天命这个年号是从什么时候开始的？
"[['美种金吉拉兔', '繁殖方式', '\xa0胎生']]",美 种 金 吉 拉 兔 的 繁 殖 方 式 是 什 么 ？,你知道美种金吉拉兔的繁殖方式是什么吗？,请问美种金吉拉兔的繁殖方式是什么？
"[['八旗满洲', '指代', '八旗中的满洲旗份佐领']]",八 旗 满 洲 指 的 是 什 么 ？,八旗满洲指代着什么？,请问八旗满洲指的是什么？
"[['藏地密码5', '印张', '19.25']]",藏 地 密 码 5 的 印 张 是 多 少 ？,藏地密码5的印张是什么？,请问《藏地密码5》的印张是多少？
"[['东方朋子', '情人', '乔瑟夫·乔斯达']]",谁 是 东 方 朋 子 的 情 人 ？,东方朋子有哪些情人,请问东方朋子的情人是谁？
"[['上原彩也香', '就读学校', '皇樱女子学院']]",上 原 彩 也 香 在 哪 个 学 校 就 读 ？,上原彩也香就读于哪个学校,上原彩也香在哪所学校上学？
"[['五山乡（广西崇左市乡镇）', '林地面积', '860公顷']]",五 山 乡 的 面 积 有 多 大 ？,我想知道五山乡有多少林地？,五山乡（广西崇左市乡镇）的林地面积是多少公顷？
"[['If you do', '获奖情况', '《THE SHOW》三连冠']]",if you do 的 获 奖 情 况 如 何 ？,If you do的获奖情况怎么样,请问《THE SHOW》三连冠的获奖情况如何？
"[['终极教师（柳下挥著都市生活小说）', '首发时间', '2014年3月20日']]",终 极 教 师 是 什 么 时 候 发 行 的 ？,请问终极教师的首次发行时间是哪天？,请问终极教师是哪一天开始发布的？
"[['SUV（星际争霸中人族战舰）', '生命值', '550']]",你 知 道 SUV 的 生 命 值 是 多 少 吗 ？,SUV的生命值有多少,请问SUV的生命值是多少？
"[['潜夫山公园', '东西长', '450米']]",潜 夫 山 公 园 的 东 西 有 多 长 ？,潜夫山公园的东西长是多少？,潜夫山公园的宽度是多少？
"[['上官透（电视剧《月上重火》男主角）', '姐夫', '鲁王']]",上 官 透 的 姐 夫 是 哪 位 ？,上官透的姐夫是谁呀,上官透的姐夫是谁？
"[['中国共产党中央委员会政法委员会', '机构类型', '中共中央直属机构']]",我 想 知 道 中 国 共 产 党 中 央 委 员 会 的 机 构 类 型 是 什 么 ？,中国共产党中央委员会政法委员会属于什么机构你知道吗？,请问中国共产党中央委员会的机构类型是什么？
"[['乌尔缇玛', '部下', '维洛恩，宗达']]",乌 尔 缇 玛 的 部 下 是 谁 ？,乌尔缇玛的部下有哪些人,乌尔缇玛的部下有哪些人？
"[['巍', '简体部首', '山']]",你 知 道 巍 的 简 体 字 怎 么 写 吗 ？,请问巍的简体部首是什么？,请问巍的简体部首是什么？
"[['珠海汉胜科技股份有限公司', '发展方向', '国内外无线电发射系统等']]",珠 海 汉 胜 科 技 股 份 有 限 公 司 的 发 展 方 向 是 什 么 ？,谁能告诉我珠海汉胜科技股份有限公司可以往哪些方向发展？,珠海汉胜科技股份有限公司的发展方向是什么？
"[['三苏园', '文物级别', '国家重点文物保护单位']]",三 苏 园 属 于 什 么 级 别 的 文 物 ？,学考古的，你们知道三苏园是什么级别的文物吗,请问三苏园的文物级别是什么？
"[['联合国世界妇女大会', '组织机构', '世界妇女组织']]",联 合 国 世 界 妇 女 大 会 的 组 织 机 构 是 什 么 ？,请问联合国世界妇女大会是哪个组织的？,请问联合国世界妇女大会的组织机构是什么？
"[['丁浩（武汉韩辰医疗美容医院外科医生）', '发证机关', '武汉市江汉区卫生局']]",请 问 丁 浩 的 发 证 机 关 是 哪 里 ？,丁浩的发证机关是哪个,丁浩的医师资格证是由哪个机构颁发的？
"[['一蓑烟雨任平生（田七导演歌曲）', '制片主任', '张弛']]",一 蓑 烟 雨 任 平 生 的 制 片 人 是 谁 ？,有人认识一蓑烟雨任平生的制片主任吗,请问一蓑烟雨任平生的制片主任是谁？
"[['Kud Wafter（日本AVG游戏公司Key社制作的恋爱冒险游戏）', '游戏售价', '2475 日元']]",你 知 道 Kud Wafter 的 游 戏 售 价 是 多 少 吗 ？,想买Kud Wafter，有人知道要多少钱吗,请问 Kud Wafter 的游戏售价是多少？
"[['雁门节度使', '起始', '公元882年']]",请 问 雁 门 节 度 使 是 从 什 么 时 候 开 始 的 ？,你知道雁门节度使的起始地在哪吗？,雁门节度使的起始时间是什么时候？
"[['麦当奴道', '地理', '人称的高尚住宅区，中环名校网区']]",请 问 麦 当 奴 道 的 地 理 位 置 在 哪 里 ？,我想请教您麦当奴道在什么地理位置？,麦当奴道位于哪里？
"[['干扰（手游《王者荣耀》召唤师技能）', '冷却时间', '60秒']]",你 知 道 干 扰 的 冷 却 时 间 吗 ？,干扰的冷却时间是多少？,请问干扰的冷却时间是多少？
"[['红河谷风景旅游度假区', '最佳旅游时间', '四季皆宜']]",你 知 道 红 河 谷 风 景 旅 游 度 假 区 的 最 佳 旅 游 时 间 吗 ？,你知道红河谷风景旅游度假区什么时候最适合旅游吗？,请问红河谷风景旅游度假区的最佳旅游时间是什么时候？
"[['1089', '八进制', '2101']]",1089 的 八 进 制 是 什 么 ？,请告诉我1089的八进制,请问1089的八进制是多少？
"[['2008年度北京流行音乐典礼', '奖项类型', '音乐类奖项']]",2008 年 度 北 京 流 行 音 乐 典 礼 是 什 么 类 型 的 奖 项 ？,你知道2008年度北京流行音乐典礼是哪种类型的奖项吗,2008年度北京流行音乐典礼属于什么类型的奖项？
"[['Granzon', '总设计师', '白河愁']]",谁 是 Granzon 的 总 设 计 师 ？,请问Granzon的总师是谁呀,请问 Granzon 的总设计师是谁？
"[['蔡咪咪', '主要事件', '涉嫌侵占2千多万薪事件']]",请 问 蔡 咪 咪 主 要 发 生 了 什 么 事 件 ？,蔡咪咪有过什么重要的事情吗？,蔡咪咪主要涉及了什么事件？
"[['佐藤七海', '握力', '左手18、右手29']]",你 知 道 佐 藤 七 海 的 握 力 是 多 少 吗 ？,你知道佐藤七海的握力如何,请问佐藤七海的握力是多少？
"[['文明湖', '水深', '约5米']]",文 明 湖 的 水 深 是 多 少 ？,文明湖有多深？,请问文明湖的水深大约是多少米？
"[['中浦悠花', '前男友', '蒋劲夫']]",谁 是 中 浦 悠 花 的 前 男 友 ？,中浦悠花的前任是哪个啊,中浦悠花的前男友是谁？
"[['朋克（一种音乐、文化形式）', '诞生', '七十年代']]",朋 克 是 什 么 时 候 诞 生 的 ？,朋克何时诞生的？,朋克这种音乐和文化形式是在什么时候诞生的？
"[['12·26印度洋地震', '震级', '里氏规模9.1级，矩震级9.3级']]",请 问 12 · 26 印 度 洋 地 震 的 震 级 是 多 少 ？,你知道12·26印度洋地震是几级的吗？,请问12·26印度洋地震的震级是多少？
"[['大国空巢：反思中国计划生育政策', '印张', '23.75']]",大 国 空 巢 ： 反 思 中 国 计 划 生 育 政 策 的 印 张 是 多 少 ？,大国空巢：反思中国计划生育政策有多少张？,请问大国空巢：反思中国计划生育政策的印张是多少？
"[['乌云珠（电视剧《少年天子》中人物）', '前夫', '博果尔']]",你 知 道 乌 云 珠 的 前 夫 是 谁 吗 ？,你认识乌云珠的前夫吗,乌云珠的前夫是谁？
"[['1024（自然数之一）', '十六进制', '400']]",1024 的 进 制 是 多 少 ？,1024的十六进制是多少,请问1024的进制是多少？
"[['一气化三清（《梦幻西游》中五庄观门派技能）', '所属门派', '五庄观门派']]",一 气 化 三 清 属 于 什 么 门 派 ？,一气化三清是哪个门派的,请问一气化三清这个技能属于哪个门派？
"[['万仙阵（小说《封神演义》中仙家法阵）', '法宝', '六魂幡']]",万 仙 阵 的 法 宝 是 什 么 ？,万仙阵有什么法宝,请问万仙阵的法宝是什么？
"[['上岳头村', '林地面积', '2183亩']]",上 岳 头 村 的 面 积 有 多 大 ？,上岳头村林地面积多大？,上岳头村的林地面积是多少？
"[['国贸美术馆', '展馆位置', '江西省景德镇国贸广场']]",国 贸 美 术 馆 在 哪 个 展 馆 ？,国贸美术馆的地址在哪？,请问国贸美术馆位于哪里？
"[['青刺果油', '发现', '19世纪20年代']]",你 知 道 青 刺 果 油 是 什 么 时 候 发 现 的 吗 ？,你记得青刺果油是在哪天被发现的吗？,请问青刺果油是在什么时候被发现的？
"[['刻托（希腊神话人物）', '亲属', '蓬托斯与盖亚之女']]",你 知 道 刻 托 的 亲 属 是 谁 吗 ？,刻托的亲戚是谁啊？,刻托的亲属有哪些？
"[['Domingo（官恩娜(Ella)老公）', '女友', '官恩娜（Ella）']]",Domingo 的 女 友 叫 什 么 名 字 ？,谁是Domingo的女友,你知道Domingo的女朋友是谁吗？
"[['广西强强碳素股份有限公司', '主营业务', '碳素制品制造及销售']]",广 西 强 强 碳 素 股 份 有 限 公 司 的 主 营 业 务 是 什 么 ？,广西强强碳素股份有限公司主要是做什么节目的啊？,请问广西强强碳素股份有限公司的主要业务是什么？
"[['成都天府站', '车站性质', '高铁站、枢纽站、客运站、城铁站']]",成 都 天 府 站 是 什 么 性 质 的 车 站 ？,成都天府站是什么性质的车站？,成都天府站属于哪几类车站？
"[['BAe ATP', '飞行速度', '亚音速']]",BAe ATP 的 飞 行 速 度 是 多 少 ？,你知道BAe ATP能飞多快呀,请问BAe ATP的飞行速度是多少？
"[['东岳庙（江苏省淮安市东岳庙）', '文物级别', '淮安市市级文物保护单位']]",东 岳 庙 属 于 什 么 级 别 的 文 物 ？,你知道东岳庙的文物级别吗,东岳庙在淮安市属于什么级别的文物吗？
"[['BUZZ（韩国视觉摇滚乐团）', '吉他手', '尹宇贤']]",你 知 道 BUZZ 的 吉 他 手 是 谁 吗 ？,在BUZZ中，谁担任吉他手啊,请问 BUZZ 的吉他手是谁？
"[['ASEC米莫萨足球俱乐部', '所属联赛', '非冠杯']]",ASEC 米 莫 萨 足 球 俱 乐 部 属 于 哪 个 联 赛 ？,ASEC米莫萨足球俱乐部是哪个联赛的,请问ASEC米莫萨足球俱乐部属于哪个联赛？
"[['1453年', '历史意义', '中世纪结束，英法百年战争结束']]",你 知 道 1453 年 有 什 么 历 史 意 义 吗 ？,1453年有哪些历史意义啊,请问1453年有什么历史意义？
"[['T-3000', '弱点', '磁性']]",T - 3000 的 弱 点 是 什 么 ？,T-3000害怕什么,T-3000 的 弱点 是什么？
"[['乐童（电视剧《因为遇见你》中人物）', '生母', '张雨欣']]",谁 是 乐 童 的 生 母 ？,谁是乐童的生母,乐童的生母是谁？
"[['信用评分系统', '发布', '朱民']]",信 用 评 分 系 统 是 什 么 时 候 发 布 的 ？,你知道有关信用评分系统的发布信息吗？,请问信用评分系统是哪一年发布的？
"[['三十岁，你好', '执行制片人', '柳斌']]",三 十 岁 ， 你 好 的 执 行 制 片 人 是 谁 ？,你知道三十岁，你好的执行制片人吗,请问三十岁，你好 的执行制片人是谁？
"[['翳蔽', '词意', '遮蔽']]",你 知 道 翳 蔽 的 词 意 是 什 么 吗 ？,请问翳蔽是什么意思？,请问翳蔽的词意是什么？
"[['7号差馆', '副导演', '陈志良']]",7 号 差 馆 的 副 导 演 是 谁 ？,谁是7号差馆的副导演,请问7号差馆的副导演是谁？
"[['Lea Tassova', '男友', '霍启山']]",你 知 道 Lea Tassova 的 男 友 是 谁 吗 ？,Lea Tassova的男朋友是谁,Lea Tassova的男朋友是谁？
"[['上官静儿', '历史原型', '上官婉儿']]",上 官 静 儿 的 历 史 原 型 是 什 么 ？,你知道上官静儿的历史原型是谁吗,上官静儿的历史原型是谁？
"[['Level B', '弱点', '锥生零的血蔷薇之枪（猎人武器）']]",你 知 道 Level B 有 什 么 优 点 吗 ？,谁知道Level B的弱点,Level B 的优点是什么？
"[['2011年度北京流行音乐典礼', '直播平台', '新浪视频']]",你 知 道 2011 年 度 北 京 流 行 音 乐 典 礼 的 直 播 平 台 是 什 么 吗 ？,你知道2011年度北京流行音乐典礼的直播平台吗,请问2011年度北京流行音乐典礼的直播平台是哪个？
"[['生活观', '体现', '人生价值、人生目的和人生意义']]",生 活 观 体 现 了 什 么 ？,生活观的作品体现的是什么主义？,生活观具体体现了哪些方面？
"[['慈溪市盐务管理局', '组织机构', '内设办公室、盐政科']]",慈 溪 市 盐 务 管 理 局 的 组 织 机 构 是 什 么 ？,慈溪市盐务管理局属于什么机构？,请问慈溪市盐务管理局的组织机构包括哪些部门？
"[['二阶堂有希子', '长子', '柳生真吾']]",请 问 二 阶 堂 有 希 子 的 长 子 是 谁 ？,大家知道谁是二阶堂有希子的大儿子吗,请问二阶堂有希子的长子是谁？
"[['东堂明', '青梅竹马', '泷岛彗、杂贺八寻']]",谁 是 东 堂 明 的 青 梅 竹 马 ？,你知道哪个是东堂明的青梅竹马吗,请问东堂明的青梅竹马是谁？
"[['2PM韩语讲座', '播放平台', '日本NHK电视台']]",2PM 韩 语 讲 座 在 什 么 平 台 播 放 ？,2PM韩语讲座的播放平台是什么,请问2PM韩语讲座是在哪个平台播放的？
"[['非学无以广才', '主旨', '劝勉儿子勤学立志,修身养性要从淡泊宁静中下功夫']]",非 学 无 以 广 才 的 主 旨 是 什 么 ？,非学无以广才的主旨是什么？,请问非学无以广才的主旨是什么？
"[['COSO报告', '发起单位', '全国虚假财务报告委员会']]",你 知 道 COSO 报 告 是 哪 个 单 位 发 起 的 吗 ？,COSO报告是由哪个单位发起的？,请问COSO报告是由哪个单位发起的？
"[['伯吉斯页岩化石群', '发现', '1909年']]",伯 吉 斯 页 岩 化 石 群 是 什 么 时 候 发 现 的 ？,你知道伯吉斯页岩化石群是在哪里发现的吗？,请问伯吉斯页岩化石群是在哪一年被发现的？
"[['几内亚比绍', '国家格言', '团结，奋斗，进步']]",请 问 几 内 亚 比 绍 的 国 家 格 言 是 什 么 ？,你知道几内亚比绍的国家格言吗,你知道几内亚比绍的国家格言是什么吗？
"[['上海（中华人民共和国直辖市）', '著名高校', '复旦大学、上海交通大学、同济大学、华东师范大学']]",上 海 有 哪 些 著 名 高 校 ？,上海有哪些有名的大学,请问上海有哪些著名的高校？
"[['天堂凹（郭建勋著小说）', '作家', '郭建勋']]",天 堂 凹 是 谁 写 的 ？,天堂凹是谁写的？,请问《天堂凹》这部小说的作者是谁？
"[['摩托罗拉AURA', '摄像头', '200万像素']]",你 知 道 摩 托 罗 拉 AURA 的 摄 像 头 有 多 大 吗 ？,你知道摩托罗拉AURA的像素吗？,请问摩托罗拉AURA的摄像头是多少像素？
"[['乌鸦座', '最佳观测时间', '五月']]",乌 鸦 座 的 最 佳 观 测 时 间 是 什 么 时 候 ？,乌鸦座的最佳观测时间是什么时候,乌鸦座的最佳观测时间是什么时候？
"[['Zr', '原子半径', '2.16']]",Zr 的 原 子 半 径 是 多 少 ？,Zr的原子半径是多少,请问Zr的原子半径是多少？
"[['仙后（传说）', '最佳观测纬度', '+90°和−20°之间']]",请 问 仙 后 的 最 佳 观 测 纬 度 是 多 少 ？,仙后的最佳观测纬度是什么,请问仙后（传说）的最佳观测纬度是多少？
"[['丹羽亚衣子', '讨厌', '动物']]",你 知 道 丹 羽 亚 衣 子 喜 欢 干 什 么 吗 ？,丹羽亚衣子有什么厌恶的呢,丹羽亚衣子不喜欢什么？
"[['丰臣秀次', '养父', '丰臣秀吉']]",请 问 丰 臣 秀 次 的 养 父 是 谁 ？,哪个是丰臣秀次的养父,丰臣秀次的养父是谁？
"[['harreke', '住处', '北京']]",你 知 道 Harreke 住 在 哪 里 吗 ？,harreke的住处在那,请问 Harreke 住在哪里？
"[['Miss Merry Christmas', '悬赏金', '1400万贝里']]",你 知 道 Miss Merry Christmas 的 悬 赏 金 是 多 少 吗 ？,你知道Miss Merry Christmas的悬赏有多少吗,请问 Miss Merry Christmas 的悬赏金是多少？
"[['新胡安岛', '陆地面积', '约4.4平方千米']]",新 胡 安 岛 的 陆 地 面 积 有 多 大 ？,你知道新胡安岛的土地面积是多少？,新胡安岛的陆地面积大约是多少？
"[['管阳', '管辖', '27个行政村']]",管 阳 管 辖 了 哪 些 地 方 ？,管阳的管辖范围是什么？,请问管阳管辖了哪些地方？
"[['哥德堡号（船名）', '属地', '瑞典']]",哥 德 堡 号 属 于 哪 里 ？,哥德堡号的属地是什么？,哥德堡号这艘船属于哪个国家？
"[['浮空弹', '冷却时间', '4秒']]",你 知 道 浮 空 弹 的 冷 却 时 间 吗 ？,浮空弹多长时间冷却？,请问浮空弹的冷却时间是多少？
"[['梧州长洲岛机场', '建成', '1995年7月']]",梧 州 长 洲 岛 机 场 是 什 么 时 候 建 成 的 ？,梧州长洲岛机场是哪年建成的？,梧州长洲岛机场是在哪一年7月建成呢？
"[['晋卦', '主旨', '论述如何上晋的为官之道']]",请 问 晋 卦 的 主 旨 是 什 么 ？,请问晋卦的主旨是什么？,请问晋卦的主旨是什么？
"[['性病学', '发起单位', '世界卫生组织']]",性 病 学 是 哪 个 单 位 发 起 的 ？,性病学是由哪个单位发起主办的？,请问性病学是由哪个单位发起的？
"[['迪拜航空公司', '三字代码', 'FDB']]",迪 拜 航 空 公 司 的 三 字 代 码 是 什 么 ？,我很好奇迪拜航空公司的代码是什么？,请问迪拜航空公司的三字代码是什么？
"[['信阳电视台', '批准部门', '国家广电部']]",你 知 道 信 阳 电 视 台 是 由 什 么 部 门 批 准 的 吗 ？,请问信阳电视台是由哪个部门批准进行的？,信阳电视台的批准部门是哪个？
"[['什社小米', '营养价值', '蛋白质脂肪可溶性淀粉胡萝卜素']]",什 社 小 米 有 哪 些 营 养 价 值 ？,请问什社小米有哪些营养价值？,什社小米的营养价值包括哪些成分？
"[['华阳夫人（武则天时女官，御正）', '子', '裴光庭']]",华 阳 夫 人 的 儿 子 叫 什 么 ？,你知道华阳夫人是孩子叫什么吗?,请问华阳夫人的儿子叫什么名字？
"[['鱼籽', '营养价值', '蛋白质、钙、磷、铁、维生素']]",鱼 籽 有 哪 些 营 养 价 值 ？,请问鱼籽有哪些营养价值？,鱼籽富含哪些营养成分？
"[['不破真广', '女友', '林美森（绝园的暴风雨外传）']]",不 破 真 广 的 女 友 叫 什 么 名 字 ？,告诉我不破真广的女友是谁,请问不破真广的女友叫什么名字？
"[['道风山', '建筑时间', '1930年']]",你 知 道 道 风 山 是 什 么 时 候 修 建 的 吗 ？,大家知道道风山的建筑时间吗？,道风山是什么时候建成的？
"[['2017-2019周期国家卫生乡镇', '创办机构', '全国爱国卫生运动委员会']]",2017 - 2019 周 期 国 家 卫 生 乡 镇 是 哪 个 机 构 创 办 的 ？,2017-2019周期国家卫生乡镇是什么机构创办的,请问2017 - 2019周期的国家卫生乡镇是由哪个机构创办的？
"[['红豆属', '引种状况', '非引种']]",红 豆 属 的 引 种 状 况 如 何 ？,红豆属是引种吗？,请问红豆属是引进来的吗？
"[['特亮县', '东西宽', '215米']]",特 亮 县 的 东 西 有 多 宽 ？,请问特亮县东西宽有多少米？,请问特亮县东西宽多少米？
"[['任茜（重庆爱尔麦格眼科医院医生）', '医师级别', '执业医师']]",你 知 道 任 茜 是 什 么 级 别 的 医 师 吗 ？,你知道任茜是什么级别的医生吗,请问任茜的医师级别是什么？
"[['中国同名秀', '播出时长', '50分钟']]",你 知 道 中 国 同 名 秀 的 时 长 吗 ？,你知道中国同名秀的播出时长吗,中国同名秀的播出时长是多少？
"[['2D（Gorillaz 主唱）', '所属乐队', '英伦老牌乐队Blur']]",2D 是 哪 个 乐 队 的 ？,你知道2D是哪个乐队的吗,2D 属于哪个乐队？
"[['新余西站', '车站性质', '仅客运']]",新 余 西 站 的 车 站 性 质 是 什 么 ？,新余西站的车站性质是什么？,请问新余西站的车站性质是什么？
"[['Jody Watley', '流行时间', '1977年']]",你 知 道 JOdy Watley 是 什 么 时 候 流 行 的 吗 ？,你知道Jody Watley的流行时间吗,请问Jody Watley是在哪一年开始流行的？
"[['山河堰', '建筑时间', '汉代']]",山 河 堰 是 什 么 时 候 修 建 的 ？,山河堰什么时候建设的？,请问山河堰是在什么时候修建的呢？
"[['管教', '词意', '在严格限制下所实施的一种教育']]",管 教 的 词 意 是 什 么 ？,你能解释一下管教的含义吗？,请问管教这个词的含义是什么？
"[['AWT', '编程语言', 'Java']]",你 知 道 AWT 是 什 么 语 言 的 吗 ？,你知道AWT的编程语言是什么吗,AWT 是用什么语言编写的？
"[['QQ远程协助', '开发', '腾讯QQ']]",你 知 道 QQ 远 程 协 助 是 谁 开 发 的 吗 ？,你知道QQ远程协助是用什么开发的吗？,请问 QQ 远程协助 是 谁 开 发 的 ？
"[['丰臣完子', '养母', '浅井茶茶']]",请 问 丰 臣 完 子 的 养 母 是 谁 ？,丰臣完子的养母是谁,丰臣完子的养母是谁？
"[['Allison Moorer', '作品风格', '新乡村风格']]",Allison Moorer 的 作 品 风 格 是 什 么 ？,Allison Moorer的风格是什么？,Allison Moorer 的 作 品 风 格 是 什 么 ？
"[['1236年', '起源国家', '中国']]",1236 年 起 源 于 哪 个 国 家 ？,1236年起源于哪个国家,请问1236年起源于哪个国家？
