五元组信息,问题,生成的语句,查询结果
"{'start': '仪表车', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",仪表车应当满足什么环境与条件?,"MATCH (device:设备与工具 {name: '仪表车'})-[:应当]->(condition:环境与条件) RETURN device.name AS device_name, condition.name AS condition_name","[{'device_name': '仪表车', 'condition_name': '安放在能看到井口、视野开阔的地点'}]"
"{'start': '压裂施工', 'type': '必须', 'labels(a)': ['活动与作业'], 'labels(b)': ['环境与条件']}",压裂施工必须满足什么环境与条件?,"MATCH (activity:活动与作业 {name: '压裂施工'})-[:必须]->(condition:环境与条件) RETURN activity.name AS activity_name, condition.name AS condition_name","[{'activity_name': '压裂施工', 'condition_name': '在白天进行'}]"
"{'start': '煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '煤层气企业', 'activity_name': '对气水分离器（如有）定期排水'}, {'enterprise_name': '煤层气企业', 'activity_name': '对煤层气储罐定期检测'}, {'enterprise_name': '煤层气企业', 'activity_name': '在脱硫溶液系统中设过滤器'}, {'enterprise_name': '煤层气企业', 'activity_name': '并应当向进入站场的外来人员告知安全注意事项等'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图'}, {'enterprise_name': '煤层气企业', 'activity_name': '定时记录设备的运转状况，定期分析主要设备的运行状态'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立报废煤层气井的档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对报废的煤层气井进行封井处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场内设置风向标'}, {'enterprise_name': '煤层气企业', 'activity_name': '测井施工前，应当召开安全会'}, {'enterprise_name': '煤层气企业', 'activity_name': '停止测井作业'}, {'enterprise_name': '煤层气企业', 'activity_name': '将井口附近的无关物品移开'}, {'enterprise_name': '煤层气企业', 'activity_name': '及时清除钻台转盘及钻台作业面上的钻井液'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立个人剂量档案和职业健康监护档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对压裂施工进行统一指挥'}, {'enterprise_name': '煤层气企业', 'activity_name': '将排采沉淀池布置在井场围栏范围内'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用'}]"
"{'start': '指挥员', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",指挥员应当参与什么活动与作业?,"MATCH (person:组织与人员 {name: '指挥员'})-[:应当]->(activity:活动与作业) RETURN person.name AS person_name, activity.name AS activity_name","[{'person_name': '指挥员', 'activity_name': '随时掌握施工动态，保持通讯系统畅通'}]"
"{'start': '煤层气企业在施工前', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",煤层气企业在施工前应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '煤层气企业', 'activity_name': '对气水分离器（如有）定期排水'}, {'enterprise_name': '煤层气企业', 'activity_name': '对煤层气储罐定期检测'}, {'enterprise_name': '煤层气企业', 'activity_name': '在脱硫溶液系统中设过滤器'}, {'enterprise_name': '煤层气企业', 'activity_name': '并应当向进入站场的外来人员告知安全注意事项等'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图'}, {'enterprise_name': '煤层气企业', 'activity_name': '定时记录设备的运转状况，定期分析主要设备的运行状态'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立报废煤层气井的档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对报废的煤层气井进行封井处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场内设置风向标'}, {'enterprise_name': '煤层气企业', 'activity_name': '测井施工前，应当召开安全会'}, {'enterprise_name': '煤层气企业', 'activity_name': '停止测井作业'}, {'enterprise_name': '煤层气企业', 'activity_name': '将井口附近的无关物品移开'}, {'enterprise_name': '煤层气企业', 'activity_name': '及时清除钻台转盘及钻台作业面上的钻井液'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立个人剂量档案和职业健康监护档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对压裂施工进行统一指挥'}, {'enterprise_name': '煤层气企业', 'activity_name': '将排采沉淀池布置在井场围栏范围内'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用'}]"
"{'start': '煤层气企业在施工前', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",煤层气企业在施工前应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '煤层气企业', 'activity_name': '对气水分离器（如有）定期排水'}, {'enterprise_name': '煤层气企业', 'activity_name': '对煤层气储罐定期检测'}, {'enterprise_name': '煤层气企业', 'activity_name': '在脱硫溶液系统中设过滤器'}, {'enterprise_name': '煤层气企业', 'activity_name': '并应当向进入站场的外来人员告知安全注意事项等'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图'}, {'enterprise_name': '煤层气企业', 'activity_name': '定时记录设备的运转状况，定期分析主要设备的运行状态'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立报废煤层气井的档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对报废的煤层气井进行封井处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场内设置风向标'}, {'enterprise_name': '煤层气企业', 'activity_name': '测井施工前，应当召开安全会'}, {'enterprise_name': '煤层气企业', 'activity_name': '停止测井作业'}, {'enterprise_name': '煤层气企业', 'activity_name': '将井口附近的无关物品移开'}, {'enterprise_name': '煤层气企业', 'activity_name': '及时清除钻台转盘及钻台作业面上的钻井液'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立个人剂量档案和职业健康监护档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对压裂施工进行统一指挥'}, {'enterprise_name': '煤层气企业', 'activity_name': '将排采沉淀池布置在井场围栏范围内'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用'}]"
"{'start': '煤层气企业在施工前', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",煤层气企业在施工前应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '煤层气企业', 'activity_name': '对气水分离器（如有）定期排水'}, {'enterprise_name': '煤层气企业', 'activity_name': '对煤层气储罐定期检测'}, {'enterprise_name': '煤层气企业', 'activity_name': '在脱硫溶液系统中设过滤器'}, {'enterprise_name': '煤层气企业', 'activity_name': '并应当向进入站场的外来人员告知安全注意事项等'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图'}, {'enterprise_name': '煤层气企业', 'activity_name': '定时记录设备的运转状况，定期分析主要设备的运行状态'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立报废煤层气井的档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对报废的煤层气井进行封井处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场内设置风向标'}, {'enterprise_name': '煤层气企业', 'activity_name': '测井施工前，应当召开安全会'}, {'enterprise_name': '煤层气企业', 'activity_name': '停止测井作业'}, {'enterprise_name': '煤层气企业', 'activity_name': '将井口附近的无关物品移开'}, {'enterprise_name': '煤层气企业', 'activity_name': '及时清除钻台转盘及钻台作业面上的钻井液'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立个人剂量档案和职业健康监护档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对压裂施工进行统一指挥'}, {'enterprise_name': '煤层气企业', 'activity_name': '将排采沉淀池布置在井场围栏范围内'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用'}]"
"{'start': '煤层气企业在施工前', 'type': '应当符合', 'labels(a)': ['组织与人员'], 'labels(b)': ['安全管理']}",煤层气企业在施工前应当符合什么安全管理?,"MATCH (enterprise:组织与人员 {name: '煤层气企业在施工前'})-[:应当符合]->(safety:安全管理) RETURN enterprise.name AS enterprise_name, safety.name AS safety_name","[{'enterprise_name': '煤层气企业在施工前', 'safety_name': '压裂车逐台逐挡充分循环排空，排净残液、余砂。'}, {'enterprise_name': '煤层气企业在施工前', 'safety_name': '按照设计要求试压合格，各部阀门应当灵活好用。设备和管线泄漏时，应当在停泵、泄压后方可检修'}, {'enterprise_name': '煤层气企业在施工前', 'safety_name': '检查压裂设备、校对仪表，确保压裂主机及辅机的工作状况良好，待修或者未达到施工要求的设备不得参加施工'}]"
"{'start': '煤层气企业在施工前', 'type': '应当符合', 'labels(a)': ['组织与人员'], 'labels(b)': ['安全管理']}",煤层气企业在施工前应当符合什么安全管理?,"MATCH (enterprise:组织与人员 {name: '煤层气企业在施工前'})-[:应当符合]->(safety:安全管理) RETURN enterprise.name AS enterprise_name, safety.name AS safety_name","[{'enterprise_name': '煤层气企业在施工前', 'safety_name': '压裂车逐台逐挡充分循环排空，排净残液、余砂。'}, {'enterprise_name': '煤层气企业在施工前', 'safety_name': '按照设计要求试压合格，各部阀门应当灵活好用。设备和管线泄漏时，应当在停泵、泄压后方可检修'}, {'enterprise_name': '煤层气企业在施工前', 'safety_name': '检查压裂设备、校对仪表，确保压裂主机及辅机的工作状况良好，待修或者未达到施工要求的设备不得参加施工'}]"
"{'start': '煤层气企业在施工前', 'type': '应当符合', 'labels(a)': ['组织与人员'], 'labels(b)': ['安全管理']}",煤层气企业在施工前应当符合什么安全管理?,"MATCH (enterprise:组织与人员 {name: '煤层气企业在施工前'})-[:应当符合]->(safety:安全管理) RETURN enterprise.name AS enterprise_name, safety.name AS safety_name","[{'enterprise_name': '煤层气企业在施工前', 'safety_name': '压裂车逐台逐挡充分循环排空，排净残液、余砂。'}, {'enterprise_name': '煤层气企业在施工前', 'safety_name': '按照设计要求试压合格，各部阀门应当灵活好用。设备和管线泄漏时，应当在停泵、泄压后方可检修'}, {'enterprise_name': '煤层气企业在施工前', 'safety_name': '检查压裂设备、校对仪表，确保压裂主机及辅机的工作状况良好，待修或者未达到施工要求的设备不得参加施工'}]"
"{'start': '施工期间煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",施工期间煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '施工期间煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '施工期间煤层气企业', 'activity_name': '派专人负责巡视边界'}]"
"{'start': '井场', 'type': '严禁', 'labels(a)': ['环境与条件'], 'labels(b)': ['活动与作业']}",井场严禁参与什么活动与作业?,"MATCH (place:环境与条件 {name: '井场'})-[:严禁]->(activity:活动与作业) RETURN place.name AS place_name, activity.name AS activity_name","[{'place_name': '井场', 'activity_name': '非施工人员进入'}]"
"{'start': '高压区', 'type': '必须', 'labels(a)': ['环境与条件'], 'labels(b)': ['活动与作业']}",高压区必须满足什么环境与条件?,"MATCH (area:环境与条件 {name: '高压区'})-[:必须]->(activity:活动与作业) RETURN area.name AS area_name, activity.name AS activity_name","[{'area_name': '高压区', 'activity_name': '设有警戒'}]"
"{'start': '无关人员', 'type': '不得', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",无关人员不得参与什么活动与作业?,"MATCH (person:组织与人员 {name: '无关人员'})-[:不得]->(activity:活动与作业) RETURN person.name AS person_name, activity.name AS activity_name","[{'person_name': '无关人员', 'activity_name': '进入'}]"
"{'start': '施工中进出井场的车辆排气管', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['活动与作业']}",施工中进出井场的车辆排气管应当参与什么活动与作业?,"MATCH (device:设备与工具 {name: '施工中进出井场的车辆排气管'})-[:应当]->(activity:活动与作业) RETURN device.name AS device_name, activity.name AS activity_name","[{'device_name': '施工中进出井场的车辆排气管', 'activity_name': '安装阻火器'}]"
"{'start': '施工车辆通过井场地面裸露的油、气管线及电缆时，煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['安全管理']}",施工车辆通过井场地面裸露的油、气管线及电缆时，煤层气企业应当参与什么安全管理?,"MATCH (enterprise:组织与人员 {name: '施工车辆通过井场地面裸露的油、气管线及电缆时，煤层气企业'})-[:应当]->(safety:安全管理) RETURN enterprise.name AS enterprise_name, safety.name AS safety_management","[{'enterprise_name': '施工车辆通过井场地面裸露的油、气管线及电缆时，煤层气企业', 'safety_management': '采取防止碾压的保护措施'}]"
"{'start': '泵车操作', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['活动与作业']}",泵车操作应当参与什么活动与作业?,"MATCH (operation:活动与作业 {name: '泵车操作'})-[:应当]->(activity:活动与作业) RETURN operation.name AS operation_name, activity.name AS activity_name","[{'operation_name': '泵车操作', 'activity_name': '平稳'}]"
"{'start': '泵车操作', 'type': '严禁', 'labels(a)': ['活动与作业'], 'labels(b)': ['活动与作业']}",泵车操作严禁参与什么活动与作业?,"MATCH (operation:活动与作业 {name: '泵车操作'})-[:严禁]->(activity:活动与作业) RETURN operation.name AS operation_name, activity.name AS activity_name","[{'operation_name': '泵车操作', 'activity_name': '无故换档或者停车'}]"
"{'start': '出现故障必须停车时，操作人员', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",出现故障必须停车时，操作人员应当参与什么活动与作业?,"MATCH (person:组织与人员 {name: '出现故障必须停车时，操作人员'})-[:应当]->(activity:活动与作业) RETURN person.name AS person_name, activity.name AS activity_name","[{'person_name': '出现故障必须停车时，操作人员', 'activity_name': '及时通知指挥员采取措施'}]"
"{'start': '压裂期间，煤层气企业', 'type': '必须', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",压裂期间，煤层气企业必须参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '压裂期间，煤层气企业'})-[:必须]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '压裂期间，煤层气企业', 'activity_name': '有专人监测剩余压裂液液面、支撑剂剩余量和供应情况'}]"
"{'start': '压裂期间，煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",压裂期间，煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '压裂期间，煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '压裂期间，煤层气企业', 'activity_name': '确保连续供液和供砂'}]"
"{'start': '加砂过程中，压力突然上升或者发生砂堵时，煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",加砂过程中，压力突然上升或者发生砂堵时，煤层气企业应当参与什么活动与作业?,"MATCH (person:组织与人员 {name: '加砂过程中，压力突然上升或者发生砂堵时，煤层气企业'})-[:应当]->(activity:活动与作业) RETURN person.name AS person_name, activity.name AS activity_name","[{'person_name': '加砂过程中，压力突然上升或者发生砂堵时，煤层气企业', 'activity_name': '及时研究处理，不得强行憋压'}]"
"{'start': '使用放射性示踪剂的', 'type': '应当', 'labels(a)': ['活动与作业'], 'labels(b)': ['安全管理']}",使用放射性示踪剂的应当参与什么安全管理?,"MATCH (activity:活动与作业 {name: '使用放射性示踪剂的'})-[:应当]->(safety:安全管理) RETURN activity.name AS activity_name, safety.name AS safety_name","[{'activity_name': '使用放射性示踪剂的', 'safety_name': '按照有关规定采取相应的防护措施，并定期对放射性示踪剂的活度、存储装置是否完好进行检测，对接触人员进行体检。'}]"
"{'start': '压裂施工后，煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",压裂施工后，煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '压裂施工后，煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '压裂施工后，煤层气企业', 'activity_name': '对设备的气路系统、液压系统、吸入排出系统、仪表系统、混合系统、柱塞泵、卡车、燃料系统等进行安全检查和维修保养。'}]"
"{'start': '排采井场', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",排采井场应当满足什么环境与条件?,"MATCH (well:排采井场)-[:应当]->(condition:环境与条件) RETURN well.name AS well_name, condition.name AS condition_name",[]
"{'start': '排采井场', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",排采井场应当满足什么环境与条件?,"MATCH (well:排采井场)-[:应当]->(condition:环境与条件) RETURN well.name AS well_name, condition.name AS condition_name",[]
"{'start': '排采井场', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",排采井场应当满足什么环境与条件?,"MATCH (well:排采井场)-[:应当]->(condition:环境与条件) RETURN well.name AS well_name, condition.name AS condition_name",[]
"{'start': '煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '煤层气企业', 'activity_name': '对气水分离器（如有）定期排水'}, {'enterprise_name': '煤层气企业', 'activity_name': '对煤层气储罐定期检测'}, {'enterprise_name': '煤层气企业', 'activity_name': '在脱硫溶液系统中设过滤器'}, {'enterprise_name': '煤层气企业', 'activity_name': '并应当向进入站场的外来人员告知安全注意事项等'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图'}, {'enterprise_name': '煤层气企业', 'activity_name': '定时记录设备的运转状况，定期分析主要设备的运行状态'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立报废煤层气井的档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对报废的煤层气井进行封井处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场内设置风向标'}, {'enterprise_name': '煤层气企业', 'activity_name': '测井施工前，应当召开安全会'}, {'enterprise_name': '煤层气企业', 'activity_name': '停止测井作业'}, {'enterprise_name': '煤层气企业', 'activity_name': '将井口附近的无关物品移开'}, {'enterprise_name': '煤层气企业', 'activity_name': '及时清除钻台转盘及钻台作业面上的钻井液'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立个人剂量档案和职业健康监护档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对压裂施工进行统一指挥'}, {'enterprise_name': '煤层气企业', 'activity_name': '将排采沉淀池布置在井场围栏范围内'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用'}]"
"{'start': '选择放空火炬的位置', 'type': '应当', 'labels(a)': ['环境与条件'], 'labels(b)': ['环境与条件']}",选择放空火炬的位置应当满足什么环境与条件?,"MATCH (location:环境与条件 {name: '选择放空火炬的位置'})-[:应当]->(condition:环境与条件) RETURN location.name AS location_name, condition.name AS condition_name","[{'location_name': '选择放空火炬的位置', 'condition_name': '考虑当地全年主风向，置于全年最小频率风向的上风侧'}]"
"{'start': '排采设备', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",排采设备应当满足什么环境与条件?,"MATCH (device:设备与工具 {name: '排采设备'})-[:应当]->(condition:环境与条件) RETURN device.name AS device_name, condition.name AS condition_name","[{'device_name': '排采设备', 'condition_name': '置于远离放空火炬的一侧摆放'}]"
"{'start': '发电机排气筒方向', 'type': '不得', 'labels(a)': ['设备与工具'], 'labels(b)': ['环境与条件']}",发电机排气筒方向不得影响什么环境与条件?,"MATCH (device:设备与工具 {name: '发电机排气筒方向'})-[:不得]->(condition:环境与条件) RETURN device.name AS device_name, condition.name AS condition_name","[{'device_name': '发电机排气筒方向', 'condition_name': '正对井口'}]"
"{'start': '煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '煤层气企业', 'activity_name': '对气水分离器（如有）定期排水'}, {'enterprise_name': '煤层气企业', 'activity_name': '对煤层气储罐定期检测'}, {'enterprise_name': '煤层气企业', 'activity_name': '在脱硫溶液系统中设过滤器'}, {'enterprise_name': '煤层气企业', 'activity_name': '并应当向进入站场的外来人员告知安全注意事项等'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图'}, {'enterprise_name': '煤层气企业', 'activity_name': '定时记录设备的运转状况，定期分析主要设备的运行状态'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立报废煤层气井的档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对报废的煤层气井进行封井处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场内设置风向标'}, {'enterprise_name': '煤层气企业', 'activity_name': '测井施工前，应当召开安全会'}, {'enterprise_name': '煤层气企业', 'activity_name': '停止测井作业'}, {'enterprise_name': '煤层气企业', 'activity_name': '将井口附近的无关物品移开'}, {'enterprise_name': '煤层气企业', 'activity_name': '及时清除钻台转盘及钻台作业面上的钻井液'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立个人剂量档案和职业健康监护档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对压裂施工进行统一指挥'}, {'enterprise_name': '煤层气企业', 'activity_name': '将排采沉淀池布置在井场围栏范围内'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用'}]"
"{'start': '气、水管线', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['设备与工具']}",气、水管线应当属于什么设备与工具?,"MATCH (pipe:设备与工具 {name: '气、水管线'})-[:应当]->(tool:设备与工具) RETURN pipe.name AS pipe_name, tool.name AS tool_name","[{'pipe_name': '气、水管线', 'tool_name': '分别安装气、水阀门'}]"
"{'start': '气管线', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['活动与作业']}",气管线应当参与什么活动与作业?,"MATCH (line:设备与工具 {name: '气管线'})-[:应当]->(activity:活动与作业) RETURN line.name AS line_name, activity.name AS activity_name","[{'line_name': '气管线', 'activity_name': '涂成黄色'}]"
"{'start': '水管线', 'type': '应当', 'labels(a)': ['设备与工具'], 'labels(b)': ['活动与作业']}",水管线应当参与什么活动与作业?,"MATCH (line:设备与工具 {name: '水管线'})-[:应当]->(activity:活动与作业) RETURN line.name AS line_name, activity.name AS activity_name","[{'line_name': '水管线', 'activity_name': '涂成绿色'}]"
"{'start': '煤层气企业', 'type': '应当', 'labels(a)': ['组织与人员'], 'labels(b)': ['活动与作业']}",煤层气企业应当参与什么活动与作业?,"MATCH (enterprise:组织与人员 {name: '煤层气企业'})-[:应当]->(activity:活动与作业) RETURN enterprise.name AS enterprise_name, activity.name AS activity_name","[{'enterprise_name': '煤层气企业', 'activity_name': '对气水分离器（如有）定期排水'}, {'enterprise_name': '煤层气企业', 'activity_name': '对煤层气储罐定期检测'}, {'enterprise_name': '煤层气企业', 'activity_name': '在脱硫溶液系统中设过滤器'}, {'enterprise_name': '煤层气企业', 'activity_name': '并应当向进入站场的外来人员告知安全注意事项等'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场的进口处设置明显的安全警示牌、进站须知和逃生路线图'}, {'enterprise_name': '煤层气企业', 'activity_name': '定时记录设备的运转状况，定期分析主要设备的运行状态'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立报废煤层气井的档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对报废的煤层气井进行封井处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '在站场内设置风向标'}, {'enterprise_name': '煤层气企业', 'activity_name': '测井施工前，应当召开安全会'}, {'enterprise_name': '煤层气企业', 'activity_name': '停止测井作业'}, {'enterprise_name': '煤层气企业', 'activity_name': '将井口附近的无关物品移开'}, {'enterprise_name': '煤层气企业', 'activity_name': '及时清除钻台转盘及钻台作业面上的钻井液'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期对从事放射性工作的人员进行个人剂量监测和职业健康检查'}, {'enterprise_name': '煤层气企业', 'activity_name': '建立个人剂量档案和职业健康监护档案'}, {'enterprise_name': '煤层气企业', 'activity_name': '对压裂施工进行统一指挥'}, {'enterprise_name': '煤层气企业', 'activity_name': '将排采沉淀池布置在井场围栏范围内'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期用可燃气体检测仪检测阀门、管线是否漏气，发现漏气应当立即检修处理'}, {'enterprise_name': '煤层气企业', 'activity_name': '定期检查气水分离器（如有）的阀门、安全阀是否灵活好用'}]"
