输入文本,生成问题,参考问题,改写问题
"[['德泓创源（北京）投资管理有限责任公司', '工作', '私募股权融资'], ['私募股权融资', '好处', '稳定资金来源,高附加值服务']]",德 泓 创 源 （ 北 京 ） 投 资 管 理 有 限 责 任 公 司 的 工 作 有 什 么 好 处 ？,德泓创源（北京）投资管理有限责任公司的工作有什么好处？,德泓创源（北京）投资管理有限责任公司的工作有什么好处？
"[['乃木坂春香', '丈夫', '绫濑裕人'], ['绫濑裕人', '出处', '乃木坂春香的秘密'], ['乃木坂春香的秘密', '插画', 'しゃあ']]",乃 木 坂 春 香 的 丈 夫 的 出 处 的 插 画 是 哪 位 完 成 的 ？,乃木坂春香的丈夫的出处的插画是哪位完成的？,请问乃木坂春香的丈夫的出处的插画是由哪位艺术家完成的？
"[['头摆的你', '歌曲语言', '客家语'], ['客家语', '管理机构', '台湾客家委员会']]",请 问 是 哪 个 机 构 管 理 头 摆 的 你 的 歌 曲 语 言 ？,请问是哪个机构管理头摆的你的歌曲语言？,请问是哪个机构管理头摆的你的歌曲语言？
"[['字母歌', '填词', '俞白眉'], ['俞白眉', '妻子', '代乐乐']]",字 母 歌 的 填 词 的 妻 子 叫 什 么 ？,字母歌的填词的妻子叫什么？,请问字母歌的填词人是谁的妻子？
"[['解压缩软件', '外文名', 'winrar'], ['winrar', '开发者', 'Eugene Roshal']]",解 压 缩 软 件 的 外 文 名 是 谁 开 发 的 ？,你知道解压缩软件的外文名的开发者是谁吗？,请问解压缩软件的外文名是谁开发的？
"[['非线性规划', '所属学科', '运筹学'], ['运筹学', '相关学科', '应用数学']]",非 线 性 规 划 的 所 属 学 科 相 关 吗 ？,你知道与非线性规划的所属学科相关的学科吗？,非线性规划属于运筹学这个学科吗？
"[['李蓬熙', '父亲', '李锐'], ['李锐', '女儿', '李蓬熙']]",李 蓬 熙 的 父 亲 的 女 儿 叫 什 么 ？,李蓬熙的父亲的女儿叫什么？,请问李蓬熙的父亲的女儿叫什么名字？
"[['天宝石', '类型', '橄榄石'], ['橄榄石', '晶系', '斜方晶系']]",请 问 天 宝 石 的 类 型 属 于 什 么 晶 系 ？,请问天宝石的类型属于什么晶系？,请问天宝石属于哪种晶系？
"[['爱的是与非：有多少爱可以重来', '作者', '海棠'], ['海棠', '亚科', '苹果亚科']]",你 知 道 爱 的 是 与 非 ： 有 多 少 爱 可 以 重 来 的 作 者 是 属 于 哪 个 亚 科 的 吗 ？,植物大神们，爱的是与非：有多少爱可以重来的作者是属于哪个亚科的,请问，爱的故事：有多少爱可以重来这本书的作者属于哪个亚科呢？
"[['张家山街道', '行政区类别', '街道'], ['街道', '中文名称', '街道']]",请 问 张 家 山 街 道 的 行 政 区 类 别 是 什 么 性 质 ？,我很好奇西街张家山街道的行政区类别是什么类型的行政区？,请问张家山街道的行政区类别是什么性质？
"[['修灵成圣', '作者', '昭武校尉'], ['昭武校尉', '废除时间', '元']]",请 问 修 灵 成 圣 的 作 者 是 哪 个 时 候 废 除 的 ？,修灵成圣的作者是什么时候废除的？,请问修灵成圣的作者是哪个朝代废除的？
"[['艾哈迈德一世', '国籍', '奥斯曼帝国'], ['奥斯曼帝国', '所属洲', '欧洲']]",艾 哈 迈 德 一 世 的 国 籍 属 于 哪 个 洲 ？,艾哈迈德一世的国籍属于哪个洲？,请问艾哈迈德一世的国籍属于哪个洲？
"[['神机', '作者', '银色'], ['银色', '繁体', '銀色']]",神 机 的 作 者 的 繁 体 怎 么 写 ？,神机的作者的繁体怎么写？,请问神机的作者银色用繁体字怎么写？
"[['萨瓦特利·卡西欧', '代表作品', '天伦之旅'], ['天伦之旅', '分级', 'USA: PG']]",萨 瓦 特 利 · 卡 西 欧 的 代 表 作 品 属 于 什 么 分 级 ？,萨瓦特利·卡西欧的代表作品怎样分级的？,请问萨瓦特利·卡西欧的代表作品属于什么分级？
"[['冕宁县', '下辖地区', '复兴镇'], ['复兴镇', '机场', '安庆天柱山机场']]",冕 宁 县 的 下 辖 地 区 有 什 么 机 场 ？,冕宁县的下辖地区有什么机场？,请问冕宁县的下辖地区有哪些机场？
"[['十八，十九', '主演', '柳演锡'], ['柳演锡', '出道作品', '老男孩']]",你 记 得 十 八 ， 十 九 的 主 演 的 出 道 作 品 是 哪 部 吗 ？,十八，十九的主演是演什么电影出道的？,你知道十八十九的主演柳演锡的出道作品是什么吗？
"[['建党伟业', '导演', '韩三平'], ['韩三平', '所属公司', '中国电影集团公司']]",建 党 伟 业 的 导 演 属 于 哪 家 公 司 ？,建党伟业的导演属于哪家公司？,请问《建党伟业》的导演属于哪家公司？
"[['贵州大学研究生院', '性质', '211工程'], ['211工程', '主管部门', '中华人民共和国国务院']]",贵 州 大 学 研 究 生 院 的 性 质 的 主 管 部 门 有 哪 些 ？,贵州大学研究生院的性质的主管部门有哪些？,请问贵州大学研究生院的性质是由哪个主管部门负责的？
"[['敬老月', '节日时间', '重阳节'], ['重阳节', '节日活动', '踏秋']]",敬 老 月 的 节 日 时 间 有 哪 些 传 统 习 俗 ？,敬老月的节日时间有哪些传统习俗？,敬老月这个节日通常会在哪些传统习俗中进行呢？
"[['雪碧', '代言人', '科比·布莱恩特'], ['科比·布莱恩特', '别名', '黑曼巴'], ['黑曼巴', '分布区域', '非洲东部和南部,鹰郡有间断分布,主要在草原,林地和灌丛中活动']]",雪 碧 的 代 言 人 的 别 名 蛇 分 布 在 什 么 地 方 ？,雪碧的代言人的别名蛇分布在什么地方？,请问雪碧的代言人的别名在哪些地方有分布？
"[['税法全程系统训练', '作者', '张清芳'], ['张清芳', '代表作品', '激情过后'], ['激情过后', '发行时间', '2011-08-26']]",请 问 税 法 全 程 系 统 训 练 的 作 者 的 代 表 作 品 是 什 么 时 候 发 行 的 ？,你记得税法全程系统训练的作者的代表作品是什么时候发行的吗？,税法全程系统训练的作者是谁？他们的代表作品《激情过后》是在哪一天发行的？
"[['苹果树，爱是荆棘心', '中文名', '苹果树'], ['苹果树', '别称', '苹果'], ['苹果', '命名者及年代', 'Mill,1768']]",苹 果 树 ， 爱 是 荆 棘 心 的 中 文 名 的 别 称 在 哪 年 由 谁 命 名 的 ？,苹果树，爱是荆棘心的中文名的别称在哪年由谁命名的？,请问苹果树，爱是荆棘心的中文名'苹果树'的别称'苹果'是在哪一年由谁命名的？
"[['狮子吼', '中文名', '热血传奇'], ['热血传奇', '运营方式', '分时间收费区和道具消费区']]",狮 子 吼 的 中 文 名 拥 有 怎 样 的 运 营 方 式 ？,狮子吼的中文名拥有怎样的运营方式？,狮子吼这款游戏的运营方式是怎样的？
"[['大连大学国际文化交流学院', '机构地点', '大连大学'], ['大连大学', '主管部门', '大连市人民政府']]",大 连 大 学 国 际 文 化 交 流 学 院 的 机 构 地 点 是 由 什 么 地 方 主 管 ？,请问大连大学国际文化交流学院的机构地点是由什么地方主管？,大连大学国际文化交流学院是由哪个地方主管的？
"[['艾哈德·劳斯', '国籍', '奥匈帝国'], ['奥匈帝国', '主要宗教', '伊斯兰教']]",艾 哈 德 · 劳 斯 的 国 籍 的 主 要 宗 教 是 什 么 ？,艾哈德·劳斯的国籍的主要宗教是什么？,请问艾哈德·劳斯的国籍的主要宗教是什么？
"[['光敏感核不育基因', '发现人', '张启发'], ['张启发', '毕业院校', '加利福尼亚大学戴维斯分校'], ['加利福尼亚大学戴维斯分校', '吉祥物', 'Gunrock the Mustang']]",谁 是 光 敏 感 核 不 育 基 因 的 发 现 人 的 毕 业 院 校 的 吉 祥 物 ？,你知道什么是光敏感核不育基因的发现人的毕业院校的吉祥物吗？,请问光敏感核不育基因的发现人张启发毕业于哪个大学，这个大学的吉祥物是什么？
"[['前程日本', '总部地点', '京都'], ['京都', '市树', '柳树']]",前 程 日 本 的 总 部 地 点 的 市 树 是 什 么 树 ？,前程日本的总部地点的市树是什么树？,请问前程日本总部所在地的市树是什么树？
"[['江西江中制药（集团）有限责任公司', '简称', '江中集团'], ['江中集团', '享誉', '中国OTC行业的领先企业']]",谁 知 道 江 西 江 中 制 药 （ 集 团 ） 有 限 责 任 公 司 的 简 称 享 誉 中 外 吗 ？,江西江中制药（集团）有限责任公司的简称在中国是什么样的企业？,江西江中制药（集团）有限责任公司这个简称在国内外都有很高的知名度，你知道它的具体名称是什么吗？
"[['钩猛蚁属', '分布区域', '萨摩亚群岛'], ['萨摩亚群岛', '地理位置', '南太平洋'], ['南太平洋', '旁白', '本尼迪克特·康伯巴奇']]",谁 是 钩 猛 蚁 属 的 分 布 区 域 的 地 理 位 置 的 旁 白 ？,谁是钩猛蚁属的分布区域的地理位置的旁白？,钩猛蚁属的分布区域位于哪个地理位置，它的旁白是谁？
"[['春水如蓝', '作者', '开司米'], ['开司米', '分为', '青绒']]",春 水 如 蓝 的 作 者 绒 被 称 为 什 么 ？,请问春水如蓝的作者又被分成什么？,请问《春水如蓝》的作者是谁？
"[['喀布尔机场', '国家', '阿富汗伊斯兰共和国'], ['阿富汗伊斯兰共和国', '国家代码', 'AFG']]",谁 能 告 诉 我 喀 布 尔 机 场 的 国 家 的 代 码 是 什 么 ？,喀布尔机场的国家的代码是多少？,请问喀布尔机场所在国家的代码是什么？
"[['电子化营销', '译者', '史达'], ['史达', '信仰', '元始天尊'], ['元始天尊', '所属', '先天大道化身之一']]",电 子 化 营 销 的 译 者 的 信 仰 所 属 哪 里 ？,电子化营销的译者的信仰所属哪里？,请问电子化营销的译者史达的信仰属于先天大道的哪个化身？
"[['地球启动三步曲', '作者', '茶炉'], ['茶炉', '别名', '茶水炉'], ['茶水炉', '构造', '炉膛']]",地 球 启 动 三 步 曲 的 作 者 的 别 名 的 构 成 是 什 么 ？,你知道地球启动三步曲的作者的别名的主要构成吗？,请问《地球启动三步曲》的作者茶炉的别名是什么？这个别名的构造是怎样的？
"[['黄沾', '代表作品', '沧海一声笑'], ['沧海一声笑', '备注', '任贤齐曾翻唱国语版']]",黄 沾 的 代 表 作 品 做 什 么 备 注 ？,黄沾的代表作品的备注写了什么？,黄沾的代表作《沧海一声笑》有什么特别之处？
"[['亚利桑那州立大学', '知名校友', '詹姆斯·哈登'], ['詹姆斯·哈登', '专业特点', '欧洲步']]",亚 利 桑 那 州 立 大 学 的 知 名 校 友 有 什 么 专 业 特 点 ？,你知道亚利桑那州立大学的知名校友有什么特点吗？,亚利桑那州立大学的知名校友詹姆斯·哈登有什么专业特点？
"[['鸡公山粮液酒', '主要营养成分', '乙醇'], ['乙醇', '危险性符号', 'S7 S16 S36 S45 S36/S37']]",鸡 公 山 粮 液 酒 的 主 要 营 养 成 分 的 危 险 性 符 号 是 什 么 ？,鸡公山粮液酒的主要营养成分的危险性符号是什么？,请问鸡公山粮液酒的主要营养成分的危险性符号是什么？
"[['中华联邦', '前身', '中华帝国'], ['中华帝国', '主要宗教', '儒家']]",中 华 联 邦 的 前 身 的 主 要 宗 教 是 什 么 ？,中华联邦的前身的主要宗教是什么？,请问中华联邦的前身的主要宗教是什么？
"[['夏普 904SH', '颜色', '淡蓝色'], ['淡蓝色', '编曲', '白若溪'], ['白若溪', '宠物', '3只狗,17只猫']]",夏 普 904SH 的 颜 色 的 编 曲 有 哪 些 爱 宠 ？,夏普 904SH的颜色的编曲有哪些爱宠？,夏普 904SH 的淡蓝色配色是由哪位编曲家创作的，同时这位编曲家拥有哪些宠物？
"[['多孔陶瓷', '原料', '堇青石'], ['堇青石', '硬度', '7～7.5（摩尔硬度）']]",请 问 多 孔 陶 瓷 的 原 料 的 硬 度 是 多 少 ？,多孔陶瓷的原料的硬度是多少？,请问多孔陶瓷的原料硬度是多少？
"[['zhttty', '代表作品', '无限恐怖'], ['无限恐怖', '主要角色', '无限流,郑吒,楚轩']]",zhttty 的 代 表 作 品 作 品 的 标 签 是 什 么 ？,zhttty的代表作品作品的标签是什么？,请问zhttty的代表作品《无限恐怖》的主要标签是什么？
"[['北京东华宏泰科技有限公司', '类型', '国家高新技术企业'], ['国家高新技术企业', '来源', '高新技术企业认定管理办法'], ['高新技术企业认定管理办法', '适用对象', '中国境内的高新技术企业']]",北 京 东 华 宏 泰 科 技 有 限 公 司 的 类 型 的 来 源 适 用 于 什 么 对 象 ？,北京东华宏泰科技有限公司的类型的来源适用于什么对象？,请问北京东华宏泰科技有限公司的类型来源适用于哪些对象？
"[['西班牙', '国庆日', '10月12日'], ['10月12日', '出生名人', '丁玲']]",哪 个 名 人 是 在 西 班 牙 的 国 庆 日 出 生 的 ？,你知道哪个名人是在西班牙的国庆日出生的吗？,你知道西班牙国庆日出生的名人是谁吗？
"[['包头医学院学报', '主办单位', '包头医学院'], ['包头医学院', '教职工', '2544名']]",你 知 道 包 头 医 学 院 学 报 的 主 办 单 位 有 多 少 教 职 工 吗 ？,你知道包头医学院学报的主办单位有多少教职工吗？,请问包头医学院学报的主办单位有多少名教职工？
"[['守护者4', '主要成员', '光井爱佳'], ['光井爱佳', '毕业时间', '2012'], ['2012', '别名', '2012世界末日']]",守 护 者 4 的 主 要 成 员 的 毕 业 时 间 款 新 福 美 来 1. 6l 自 动 精 英 版 是 什 么 时 候 推 出 的 ？,守护者4的主要成员的毕业时间云南公务员考试-历年真题精解+全真模拟预测试卷（上）行测是哪个版本的？,请问守护者4的主要成员光井爱佳的毕业时间是哪一年？
"[['双缩脲法', '成分', '氢氧化钾'], ['氢氧化钾', '水溶性', '易溶']]",双 缩 脲 法 的 成 分 是 怎 样 水 溶 的 ？,双缩脲法的成分的水溶性怎么样？,请问双缩脲法的成分氢氧化钾在水中的溶解性如何？
"[['玉娘', '登场作品', '笑傲江湖'], ['笑傲江湖', '集数', '42集（剪辑版56集）']]",玉 娘 的 登 场 作 品 有 多 少 集 ？,你知道玉娘的登场作品有多少集吗？,玉娘出演的《笑傲江湖》这部电视剧总共有多少集？
"[['绝弦', '人物', '钟子期'], ['钟子期', '相关作品', '无']]",绝 弦 的 人 物 有 什 么 相 关 作 品 吗 ？,绝弦的人物有什么相关作品吗？,请问绝弦这个人物有哪些相关作品吗？
"[['岳西县', '下辖地区', '温泉镇'], ['温泉镇', '方言', '赣语']]",岳 西 县 的 下 辖 地 区 使 用 什 么 方 言 ？,岳西县的下辖地区使用什么方言？,请问岳西县下面哪个乡镇使用赣语？
"[['幸运草的夏天', '连载平台', '天翼阅读'], ['天翼阅读', '成立者', '中国电信集团']]",幸 运 草 的 夏 天 的 连 载 平 台 是 哪 个 成 立 的 ？,谁成立了幸运草的夏天的连载平台？,请问《幸运草的夏天》的连载平台是由哪个公司成立的？
"[['笑笑江湖OL', '地区', '地球'], ['地球', '离心率', '0.016710219']]",笑 笑 江 湖 OL 的 地 区 的 离 心 率 是 多 少 ？,笑笑江湖OL的地区的离心率是多少？,笑笑江湖OL所在的地球的离心率是多少？
"[['土肥原贤二', '信仰', '军国主义'], ['军国主义', '表现形式', '拿破仑战争']]",土 肥 原 贤 二 的 信 仰 表 现 在 哪 里 ？,土肥原贤二的信仰是在哪些战争中表现出来的？,土肥原贤二的信仰主要体现在哪些历史事件中？
"[['999牌皮炎平软膏', '别名', '999皮炎平'], ['999皮炎平', '主要用药禁忌', '不可以长期使用']]",999 牌 皮 炎 平 软 膏 的 别 名 主 要 有 什 么 禁 忌 ？,使用999牌皮炎平软膏的别名有哪些禁忌？,请问999牌皮炎平软膏的别名主要有哪些用药禁忌？
"[['醇酒妇人', '近义词', '灯红酒绿'], ['灯红酒绿', '释义', '形容夜饮聚会的情景繁华热闹']]",用 醇 酒 妇 人 的 近 义 词 怎 么 解 释 ？,谁能帮我解释一下醇酒妇人的近义词？,请问'醇酒妇人'的近义词是什么，以及它的意思是什么？
"[['感应系电能表', '中文名', '电能表'], ['电能表', '本质', '测量电能的仪表']]",请 问 感 应 系 电 能 表 的 中 文 名 的 本 质 是 什 么 ？,请问感应系电能表的中文名的本质是什么？,请问感应系电能表这个中文名的本质是什么？
"[['甲酫', '别名', '福尔马林'], ['福尔马林', '危险性符号', 'R：R23/24/25-R34-R40-R43']]",甲 蝶 的 别 名 的 危 险 性 符 号 怎 么 表 示 ？,甲酫的别名的危险性符号怎么表示？,甲酫的别名福尔马林的危险性符号怎么表示？
"[['秦王妃', '作者', '白鳍豚'], ['白鳍豚', '濒危状态', '功能性灭绝']]",秦 王 妃 的 作 者 处 于 怎 样 的 濒 危 状 态 ？,谁知道秦王妃的作者处于怎样的濒危状态？,请问秦王妃的作者是处于什么濒危状态？
"[['体育健康教育', '作者', '孙悦'], ['孙悦', '血型', 'a型']]",体 育 健 康 教 育 的 作 者 的 血 型 是 a 还 是 b ？,体育健康教育的作者的血型是a还是b？,体育健康教育的作者孙悦的血型是A型还是B型？
"[['航海家号', '舰长', '凯瑟琳·珍妮薇'], ['凯瑟琳·珍妮薇', '国籍', '地球'], ['地球', '自转周期', '23h56min4s']]",请 问 航 海 家 号 的 舰 长 的 国 籍 自 转 一 圈 需 要 多 久 ？,请问航海家号的舰长的国籍自转一圈需要多久？,航海家号的舰长是哪个国家的人？航海家号的舰长所在星球自转一圈需要多长时间？
"[['奥北华南虎自然保护区', '保护对象', '华南虎'], ['华南虎', '亚种', '华南虎']]",奥 北 华 南 虎 自 然 保 护 区 的 保 护 对 象 是 什 么 亚 种 ？,奥北华南虎自然保护区的保护对象是什么亚种？,请问奥北华南虎自然保护区的保护对象是哪个亚种？
"[['马其顿', '国庆日', '10月11日'], ['10月11日', '前一天', '10月10日']]",你 知 道 马 其 顿 的 国 庆 日 的 前 一 天 是 多 少 日 吗 ？,你知道马其顿的国庆日的前一天是哪一天？,请问马其顿的国庆日的前一天是哪一天？
"[['标致207 CROSS 1.4L 手动品乐型', '中文名', '标致207'], ['标致207', '轴距', '2450毫米']]",标 致 207 CROSS 1. 4L 手 动 品 乐 型 的 中 文 名 的 轴 距 是 多 少 ？,标致207 CROSS 1.4L 手动品乐型的中文名的轴距是多少？,请问标致207 CROSS 1.4L手动品乐型的中文名的轴距是多少毫米？
"[['不懂装懂', '近义词', '滥竽充数'], ['滥竽充数', '近义词', '鱼目混珠'], ['鱼目混珠', '反义词', '泾渭分明']]",泾 渭 分 明 是 什 么 意 思 ？,请问不懂装懂的近义词的近义词的反义词是什么？,请问泾渭分明是什么意思？
"[['葡萄玛瑙', '性质', '玛瑙'], ['玛瑙', '化学式', 'SiO2']]",你 知 道 葡 萄 玛 瑙 的 性 质 的 化 学 式 吗 ？,你知道葡萄玛瑙的性质的化学式吗？,请问葡萄玛瑙的性质和化学式的具体信息是什么？
"[['蒙鱼器', '地点', '捕鱼'], ['捕鱼', '平台', '789游戏中心']]",谁 知 道 蒙 鱼 器 的 地 点 是 哪 个 平 台 的 ？,蒙鱼器的地点达人之深海狩猎是哪个平台的？,请问蒙鱼器是在哪个平台上的？
"[['亡人节', '别称', '鬼节'], ['鬼节', '设定时间', '三月三'], ['三月三', '流行地区', '广西']]",在 哪 些 地 区 流 行 过 亡 人 节 的 别 称 的 设 定 时 间 ？,在哪些地区流行过亡人节的别称的设定时间？,请问在哪些地区流行过被称为鬼节的亡人节，并且这个节日的设定时间是在三月三？
"[['深圳经济特区', '下辖地区', '福田区'], ['福田区', '经纬度', '北纬22°32′,东经114°0′']]",你 能 说 出 深 圳 经 济 特 区 的 下 辖 地 区 的 经 纬 度 吗 ？,你能说出深圳经济特区的下辖地区的经纬度吗？,请问深圳经济特区的哪个区位于北纬22°32′、东经114°0′的经纬度范围内？
"[['丰满区', '著名景点', '丰满水电站'], ['丰满水电站', '总装机容量', '100.25万千瓦']]",丰 满 区 的 著 名 景 点 总 装 机 容 量 是 多 少 ？,请问丰满区的著名景点的总装机有多大的容量？,请问丰满区的著名景点丰满水电站的总装机容量是多少？
"[['中国摄影年鉴', '作者', '中国摄影家协会'], ['中国摄影家协会', '现任主席', '王瑶']]",中 国 摄 影 年 鉴 的 作 者 现 在 的 主 席 是 谁 ？,中国摄影年鉴的作者现在的主席是谁？,请问《中国摄影年鉴》的作者是谁，他现在担任什么职务？
"[['amazing summer', '播出频道', '高清翡翠台'], ['高清翡翠台', '视频格式', '16:9']]",你 知 道 Amazing Summer 的 播 出 频 道 的 视 频 格 式 是 多 少 吗 ？,你知道amazing summer的播出频道的视频格式是多少吗？,请问 Amazing Summer 在哪个频道播出，它的视频格式是 16:9 吗？
"[['唐卡中的度母、明妃、天女', '书名', '天女'], ['天女', '特指', '星名']]",唐 卡 中 的 度 母 、 明 妃 、 天 女 的 书 名 主 要 特 指 什 么 ？,你说唐卡中的度母、明妃、天女的书名指的是什么？,请问唐卡中度母、明妃、天女的书名主要指的是什么星名？
"[['南方工报', '主办', '广东省总工会'], ['广东省总工会', '所属机构', '全国总工会']]",南 方 工 报 的 主 办 属 于 什 么 机 构 ？,南方工报的主办属于什么机构？,请问南方工报的主办单位是哪个机构？
"[['石龙镇', '下辖地区', '西湖区'], ['西湖区', '火车站', '杭州站']]",石 龙 镇 的 下 辖 地 区 附 近 的 火 车 站 是 什 么 ？,石龙镇的下辖地区附近的火车站是什么？,请问石龙镇附近有哪些火车站？
"[['人间日月长', '作者', '云南'], ['云南', '别名', '云,滇']]",人 间 日 月 长 的 作 者 红 河 奔 牛 俱 乐 部 篮 球 队 是 在 哪 里 创 办 的 ？,人间日月长的作者红河奔牛俱乐部篮球队是在哪里创办的？,请问红河奔牛俱乐部篮球队是在哪里创办的？
"[['仙意红尘', '作者', '自燃点'], ['自燃点', '因素', '压力催化']]",请 问 仙 意 红 尘 的 作 者 是 受 什 么 因 素 影 响 的 ？,请问仙意红尘的作者的因素要什么？,请问仙意红尘的作者是受到哪些因素影响的呢？
"[['凤咀村', '著名景点', '南唐'], ['南唐', '主要城市', '光州'], ['光州', '市花', '潢川金桂']]",凤 咀 村 的 著 名 景 点 的 主 要 城 市 的 市 花 是 什 么 ？,请问凤咀村的著名景点的主要城市的市花是什么啊？,凤咀村著名的景点主要城市是哪里？那个城市的市花是什么？
"[['地热能', '类别', '可再生资源'], ['可再生资源', '概念', '资源']]",如 何 解 释 地 热 能 的 类 别 ？,如何解释地热能的类别？,地热能属于哪一类可再生资源？
"[['规范变换', '类型', '量子力学'], ['量子力学', '起源', '1900年']]",请 问 规 范 变 换 的 类 型 起 源 于 哪 年 ？,规范变换的类型起源于哪年？,规范变换的类型起源于哪一年？
"[['袁艺', '登场作品', '小时代'], ['小时代', 'imdb编码', 'tt3043630']]",袁 艺 的 登 场 作 品 的 imdb 编 码 是 什 么 ？,袁艺的登场作品的imdb编码是什么？,袁艺的登场作品的IMDb编码是多少？
"[['幸福从天而降', '主演', '崔若涵'], ['崔若涵', '代表作品', '大男当婚'], ['大男当婚', '拍摄时间', '2011年6月22日-8月1日']]",幸 福 从 天 而 降 的 主 演 的 代 表 作 品 是 什 么 时 候 拍 的 ？,幸福从天而降的主演的代表作品是什么时候拍摄的？,请问《幸福从天而降》的主演崔若涵的代表作品《大男当婚》是在什么时候拍摄的？
"[['水树奈奈深爱', '填词', '水树奈奈'], ['水树奈奈', '代表作品', '魔法少女奈叶'], ['魔法少女奈叶', '主要配音', '清水爱']]",水 树 奈 奈 深 爱 的 填 词 的 代 表 作 品 的 主 要 配 音 都 有 谁 ？,水树奈奈深爱的填词的代表作品的主要配音都有谁？,水树奈奈深爱的填词代表作品的主要配音演员有哪些？
"[['魔兽世界：熊猫人之谜', '主要角色', '加尔鲁什·地狱咆哮'], ['加尔鲁什·地狱咆哮', '国籍', '奥格瑞玛'], ['奥格瑞玛', '资源', '萨满']]",你 知 道 魔 兽 世 界 ： 熊 猫 人 之 谜 的 主 要 角 色 的 国 籍 包 括 哪 些 资 源 吗 ？,我想知道魔兽世界：熊猫人之谜的主要角色的国籍都包括哪些装备和训练？,你知道《魔兽世界：熊猫人之谜》的主要角色加尔鲁什·地狱咆哮的国籍包括哪些资源吗？
"[['杨玉儿', '登场作品', '隋唐演义'], ['隋唐演义', '集数', '62集']]",杨 玉 儿 的 登 场 作 品 一 共 有 多 少 集 ？,杨玉儿的登场作品一共有多少集？,杨玉儿的登场作品总共有多少集？
"[['邻城村', '地理位置', '古城镇'], ['古城镇', '下辖地区', '辖32个行政村']]",邻 城 村 的 地 理 位 置 下 辖 多 少 个 地 区 ？,你知道邻城村的地理位置下辖多少个地区吗？,请问邻城村属于哪个镇，它下面管辖了多少个村子？
"[['爱在那一天', '主演', '叶青'], ['叶青', '出道地区', '内地']]",爱 在 那 一 天 的 主 演 是 在 哪 里 出 道 的 啊 ？,请问爱在那一天的主演是在哪里出道的啊？,请问《爱在那一天》的主演叶青是在哪里出道的呢？
"[['惠安集团', '定位', '中国兵器工业集团公司'], ['中国兵器工业集团公司', '年营业额', '4002亿元(2014年)']]",惠 安 集 团 的 定 位 年 营 业 额 是 多 少 ？,惠安集团的定位年营业额是多少？,请问惠安集团的定位和年营业额分别是多少？
"[['异江湖', '作者', '展翅翱翔'], ['展翅翱翔', '作者', '浙江'], ['浙江', '历史名人', '金庸']]",你 知 道 异 江 湖 的 作 者'作 者 的 记 者 是 哪 位 吗 ？,你知道异江湖的作者的作者有哪些历史名人吗？,请问，《异江湖》的作者是哪位？
"[['吟游诗人', '所属专辑', '？'], ['？', '音乐风格', '流行']]",你 知 道 歌 手 的 所 属 专 辑 的 音 乐 风 格 是 什 么 吗 ？,in a world like this的风格是什么吟游诗人的所属专辑,请问歌手的所属专辑的音乐风格是什么？
"[['美琴叫你起床', '主要配音', '御坂美琴'], ['御坂美琴', '等级', '超能力者(Level,5)']]",美 琴 叫 你 起 床 的 主 要 配 音 是 哪 个 等 级 的 ？,美琴叫你起床的主要配音是哪个等级的？,美琴叫你起床的主要配音是哪个等级的？
"[['肖正华', '别名', '野望'], ['野望', '作品出处', '全唐诗']]",肖 正 华 的 别 名 这 首 诗 出 自 哪 里 ？,你知道肖正华的别名这个作品出自哪里吗？,请问肖正华的别名'野望'这首诗出自哪里？
"[['郭延濬', '字号', '利川'], ['利川', '市树', '水杉']]",郭 延 濬 的 字 号 的 市 树 是 什 么 ？,郭延濬的字号的市树是什么？,郭延濬的字号对应的市树是什么？
"[['熊出没之摩托大比拼', '对象', '熊大'], ['熊大', '最喜欢的食物', '蜂蜜']]",熊 出 没 之 摩 托 大 比 拼 的 对 象 喜 欢 吃 什 么 ？,你知道熊出没之摩托大比拼的对象最喜欢的食物有哪些？,请问在《熊出没之摩托大比拼》中，熊大最喜欢的食物是什么？
"[['子陵吻鰕虎鱼', '别称', '极乐吻鰕虎'], ['极乐吻鰕虎', '属', '吻鰕虎属\xa0Rhinogobius']]",子 陵 吻 鰕 虎 鱼 的 别 称 是 哪 个 属 的 ？,子陵吻鰕虎鱼的别称是什么属有人知道吗？,请问子陵吻鰕虎鱼的别称属于哪个属呢？
"[['毒舌，傲娇，小豆丁', '中文名', '傲娇'], ['傲娇', '形容', '经常口是心非的女人,经常口是心非的人']]",毒 舌 ， 傲 娇 ， 小 豆 丁 的 中 文 名 形 容 的 是 什 么 ？,谁知道毒舌，傲娇，小豆丁的中文名形容的是什么？,毒舌傲娇小豆丁的中文名形容的是什么？
"[['与索罗斯一起走过的日子', '出版社', '广东'], ['广东', '著名景点', '白云山'], ['白云山', '气候类型', '亚热带季风气候']]",与 索 罗 斯 一 起 走 过 的 日 子 的 出 版 社 的 著 名 景 点 地 区 是 什 么 型 的 气 候 ？,与索罗斯一起走过的日子的出版社的著名景点地区是什么型的气候？,请问与索罗斯一起走过的日子的出版社所在地区的著名景点属于哪种气候类型？
"[['超级变变变', '接档', '妈妈的牵挂'], ['妈妈的牵挂', '主要嘉宾', '李锐'], ['李锐', '女儿', '李蓬熙']]",超 级 变 变 变 的 接 档 的 主 要 嘉 宾 女 儿 叫 什 么 ？,超级变变变的接档的主要嘉宾的女儿叫什么？,请问《超级变变变》接档节目的主要嘉宾李锐的女儿叫什么名字？
